ESTUDIANTE,promedio_general,promedio_mediana,promedio_min,promedio_max,promedio_std,asistencia_promedio,asistencia_mediana,asistencia_min,asistencia_max,asistencia_std,total_materias,materias_aprobadas,materias_reprobadas,tasa_aprobacion,tasa_reprobacion,max_vez_cursada,promedio_vez_cursada,materias_repetidas,nivel_max,nivel_min,num_periodos,num_materias_distintas,avance_niveles,num_periodos_regulares,materias_nota_cero,materias_asist_cero,materias_nota_menor5,materias_asist_menor50,pct_nota_cero,pct_asist_cero,materias_ingles,registros_especiales,materias_prom_periodo,materias_max_periodo,prom_primer,asist_primer,prom_ultimo,asist_ultimo,cambio_promedio,cambio_asistencia,DESERTOR
Estudiante 203,8.471923076923076,8.475,7.02,9.87,0.8146803998171019,94.3076923076923,96.0,82,100,5.697502826812678,26,26,0,1.0,0.0,1,1.0,0,4,1,4,26,3,4,0,0,0,0,0.0,0.0,0,0,6.5,7,7.727142857142858,94.0,8.706666666666665,96.33333333333333,0.9795238095238075,2.3333333333333286,0
Estudiante 204,8.674347826086956,8.79,7.16,10.0,0.8602580272905258,84.17391304347827,100.0,0,100,33.69468824325693,23,23,0,1.0,0.0,1,1.0,0,3,1,6,23,2,3,0,3,0,3,0.0,0.13043478260869565,3,3,3.8333333333333335,7,8.854285714285714,97.71428571428571,9.15,0.0,0.29571428571428626,-97.71428571428571,0
Estudiante 205,8.329629629629629,8.28,7.11,9.41,0.7018189635154194,94.5925925925926,100.0,0,100,19.13968744069859,27,27,0,1.0,0.0,1,1.0,0,4,1,5,27,3,4,0,1,0,1,0.0,0.037037037037037035,1,1,5.4,7,8.03,100.0,8.753333333333332,98.0,0.7233333333333327,-2.0,0
Estudiante 206,5.809523809523809,7.66,0.0,9.38,3.795740344373514,67.52380952380952,97.0,0,100,45.12274265558228,21,15,6,0.7142857142857143,0.2857142857142857,1,1.0,0,3,1,4,21,2,3,6,6,6,6,0.2857142857142857,0.2857142857142857,1,1,5.25,7,8.317142857142857,85.71428571428571,0.0,8.333333333333334,-8.317142857142857,-77.38095238095238,1
Estudiante 207,8.45076923076923,8.275,7.14,9.97,0.687394635282662,96.88461538461539,98.5,89,100,3.6147135220033473,26,26,0,1.0,0.0,1,1.0,0,4,1,4,26,3,4,0,0,0,0,0.0,0.0,0,0,6.5,7,8.101428571428572,97.57142857142857,8.623333333333333,97.0,0.5219047619047608,-0.5714285714285694,0
Estudiante 208,8.675925925925926,8.68,7.05,9.92,0.6957743846262193,95.74074074074075,100.0,0,100,19.202549094791863,27,27,0,1.0,0.0,1,1.0,0,4,1,5,27,3,4,0,1,0,1,0.0,0.037037037037037035,1,1,5.4,7,8.537142857142857,100.0,8.854999999999999,100.0,0.3178571428571413,0.0,0
Estudiante 209,8.587857142857143,8.65,7.18,9.86,0.837431510269069,93.67857142857143,100.0,0,100,18.813024588829258,28,28,0,1.0,0.0,1,1.0,0,4,1,6,28,3,4,0,1,0,1,0.0,0.03571428571428571,2,1,4.666666666666667,7,8.845714285714285,97.42857142857143,8.115,97.33333333333333,-0.730714285714285,-0.095238095238102,0
Estudiante 21,8.848571428571429,8.99,7.24,10.0,0.8893113770073591,98.21428571428571,100.0,89,100,3.8466483198627994,14,14,0,1.0,0.0,1,1.0,0,2,1,2,14,1,2,0,0,0,0,0.0,0.0,0,0,7.0,7,8.72,97.85714285714286,8.977142857142857,98.57142857142857,0.25714285714285623,0.7142857142857082,0
Estudiante 210,8.395909090909091,8.645,1.13,10.0,1.8098978110877106,91.72727272727273,98.5,0,100,21.193399282799664,22,20,2,0.9090909090909091,0.09090909090909091,1,1.0,0,4,1,4,22,3,4,0,1,1,1,0.0,0.045454545454545456,0,0,5.5,7,7.671428571428572,85.14285714285714,9.23,94.66666666666667,1.5585714285714287,9.523809523809533,0
Estudiante 211,8.450714285714286,8.565000000000001,7.0,9.5,0.6954557715331222,93.85714285714286,100.0,0,100,18.72157457313231,28,28,0,1.0,0.0,1,1.0,0,4,1,6,28,3,4,0,1,0,1,0.0,0.03571428571428571,2,1,4.666666666666667,7,8.211428571428572,98.14285714285714,8.845,97.0,0.6335714285714289,-1.1428571428571388,0
Estudiante 212,8.31391304347826,8.59,5.7,9.34,0.8580725712603845,87.78260869565217,100.0,0,100,28.26169351185634,23,22,1,0.9565217391304348,0.043478260869565216,1,1.0,0,4,1,6,23,3,4,0,2,0,2,0.0,0.08695652173913043,2,2,3.8333333333333335,7,7.864285714285714,99.14285714285714,9.25,0.0,1.3857142857142861,-99.14285714285714,0
